event_id,threshold,entry_date,triggered,low_date,days_from_low,entry_drawdown,low_drawdown,fwd_21d,fwd_63d
15,13,2024-08-13T00:00:00,True,2024-08-07T00:00:00,6.0,-0.0802847538551017,-0.13557739553521508,0.023001490749712028,0.11237420924334152
16,13,2025-03-19T00:00:00,True,2025-04-08T00:00:00,-20.0,-0.10867072972672642,-0.22768317249200065,-0.07512691672935301,0.10166303974373592
17,13,2025-11-28T00:00:00,True,2025-11-20T00:00:00,8.0,-0.025984179286770992,-0.07880207882684143,0.0015793064070082075,-0.027282975700147594
18,13,2026-04-09T00:00:00,True,2026-03-30T00:00:00,10.0,-0.03778631419083178,-0.11964363794311839,0.1655876469338886,
19,13,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
1,14,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,14,,False,2018-04-02T00:00:00,,,-0.10522597980872284,,
3,14,2019-01-04T00:00:00,True,2018-12-24T00:00:00,11.0,-0.15947863382638017,-0.22796623824208295,0.09473190511700791,0.1841263606261565
4,14,,False,2019-06-03T00:00:00,,,-0.1098320321251457,,
5,14,,False,2019-08-05T00:00:00,,,-0.0745557450174823,,
6,14,,False,2020-03-16T00:00:00,,,-0.2855936425707133,,
7,14,,False,2020-09-23T00:00:00,,,-0.12749406591375545,,
8,14,,False,2021-03-08T00:00:00,,,-0.10851519618796535,,
9,14,,False,2021-05-12T00:00:00,,,-0.0734481816853787,,
10,14,,False,2021-10-04T00:00:00,,,-0.07615393977967622,,
11,14,2022-02-01T00:00:00,True,2022-11-03T00:00:00,-275.0,-0.09408130110378143,-0.35118714912770055,-0.06363553659782095,-0.12668497594761252
12,14,,False,2023-08-18T00:00:00,,,-0.07157651690455447,,
13,14,2023-11-01T00:00:00,True,2023-10-26T00:00:00,6.0,-0.07327030890171327,-0.10779945251606837,0.09239119152419817,0.20487727763289043
14,14,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
15,14,,False,2024-08-07T00:00:00,,,-0.13557739553521508,,
16,14,2025-03-21T00:00:00,True,2025-04-08T00:00:00,-18.0,-0.10876350198166784,-0.22768317249200065,-0.07423913328427023,0.10856172069466674
17,14,,False,2025-11-20T00:00:00,,,-0.07880207882684143,,
18,14,,False,2026-03-30T00:00:00,,,-0.11964363794311839,,
19,14,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
1,15,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,15,,False,2018-04-02T00:00:00,,,-0.10522597980872284,,
3,15,2019-01-04T00:00:00,True,2018-12-24T00:00:00,11.0,-0.15947863382638017,-0.22796623824208295,0.09473190511700791,0.1841263606261565
4,15,,False,2019-06-03T00:00:00,,,-0.1098320321251457,,
5,15,,False,2019-08-05T00:00:00,,,-0.0745557450174823,,
6,15,,False,2020-03-16T00:00:00,,,-0.2855936425707133,,
7,15,,False,2020-09-23T00:00:00,,,-0.12749406591375545,,
8,15,,False,2021-03-08T00:00:00,,,-0.10851519618796535,,
9,15,,False,2021-05-12T00:00:00,,,-0.0734481816853787,,
10,15,,False,2021-10-04T00:00:00,,,-0.07615393977967622,,
11,15,2022-05-04T00:00:00,True,2022-11-03T00:00:00,-183.0,-0.1820967609634655,-0.35118714912770055,-0.07099523157771259,-0.013885099673733525
12,15,,False,2023-08-18T00:00:00,,,-0.07157651690455447,,
13,15,,False,2023-10-26T00:00:00,,,-0.10779945251606837,,
14,15,,False,2024-04-19T00:00:00,,,-0.07108293455329961,,
15,15,,False,2024-08-07T00:00:00,,,-0.13557739553521508,,
16,15,2025-03-21T00:00:00,True,2025-04-08T00:00:00,-18.0,-0.10876350198166784,-0.22768317249200065,-0.07423913328427023,0.10856172069466674
17,15,,False,2025-11-20T00:00:00,,,-0.07880207882684143,,
18,15,,False,2026-03-30T00:00:00,,,-0.11964363794311839,,
19,15,,False,2026-06-10T00:00:00,,,-0.07031997684181479,,
1,16,,False,2018-02-08T00:00:00,,,-0.10226426618565776,,
2,16,,False,2018-04-02T00:00:00,,,-0.10522597980872284,,
3,16,2019-01-04T00:00:00,True,2018-12-24T00:00:00,11.0,-0.15947863382638017,-0.22796623824208295,0.09473190511700791,0.1841263606261565
4,16,,False,2019-06-03T00:00:00,,,-0.1098320321251457,,
5,16,,False,2019-08-05T00:00:00,,,-0.0745557450174823,,
6,16,,False,2020-03-16T00:00:00,,,-0.2855936425707133,,
7,16,,False,2020-09-23T00:00:00,,,-0.12749406591375545,,
8,16,,False,2021-03-08T00:00:00,,,-0.10851519618796535,,
9,16,,False,2021-05-12T00:00:00,,,-0.0734481816853787,,
10,16,,False,2021-10-04T00:00:00,,,-0.07615393977967622,,
